处理类型	测试规则大类	测试规则小类	测试内容
01-直接映射	01-完整性	0101-非空完整性	统计字段非空值
01-直接映射	02-唯一性	0201-主键唯一性	检查主键是否重复(完成)
01-直接映射	02-唯一性	0202-实体唯一性	源与目标表记录数一致性检查 （完成）
01-直接映射	03-有效性	0301-长度有效性	统计客户内码字段长度（11位）
01-直接映射	03-有效性	0301-长度有效性	统计柜员编号字段长度（6位）
01-直接映射	03-有效性	0301-长度有效性	统计机构号字段长度（6位）
01-直接映射	03-有效性	0302-内容有效性	验证客户内码以（81，82，83）开头
01-直接映射	03-有效性	0303-日期有效性	检查日期格式是否为yyyy-mm-dd 10位
01-直接映射	03-有效性	0303-日期有效性	检查时间戳格式是否为yyyy-MM-dd HH:MM:SS.毫秒6位 26位
01-直接映射	03-有效性	0304-枚举值有效性	检查代码值是否在代码表中
01-直接映射	03-有效性	0305-取值范围有效性	统计金额字段汇总值、最大值、最小值，以及与源表的一致性
01-直接映射	04-一致性	0404-参照一致性	主表外键字段取值在关联表主键字段取值中存在[记账机构编号]
01-直接映射	04-一致性	0404-参照一致性	主表外键字段取值在关联表主键字段取值中存在[开户机构编号]
01-直接映射	04-一致性	0404-参照一致性	主表外键字段取值在关联表主键字段取值中存在[客户经理柜员编号]
01-直接映射	04-一致性	0404-参照一致性	主表外键字段取值在关联表主键字段取值中存在[经办人柜员编号]
02-关联处理	01-完整性	0404-参照一致性	主表与从表关联覆盖率大于0
02-关联处理	04-一致性	0402-逻辑一致性	主表dcopy、填写固定值字段逻辑验证 
